City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
329,mermoz boabab,14.7065,-17.4758,24.31,88,20,2.06,SN,1715247865
330,arraial do cabo,-22.9661,-42.0278,22.92,100,40,4.63,BR,1715247865
331,casas grandes,30.3667,-107.95,12.26,36,0,2.06,MX,1715247865
332,green river,41.5286,-109.4662,3.88,80,100,0.55,US,1715247866
333,salahonda,2.1019,-78.7217,25.54,87,44,3.18,CO,1715247866
334,shimoda,34.6667,138.95,12.28,81,58,3.63,JP,1715247866
335,bage,-31.3314,-54.1069,9.88,87,0,3.09,BR,1715247866
336,robore,-18.3333,-59.75,20.97,98,99,1.84,BO,1715247866
337,mili,6.0815,171.735,28.4,81,88,5.99,MH,1715247867
338,nabire,-3.3667,135.4833,26.26,88,100,0.55,ID,1715247867
339,bafra,41.5678,35.9069,22.06,65,88,5.16,TR,1715247867
340,long beach,33.767,-118.1892,16.69,87,100,2.57,US,1715247782
341,baotou,40.6522,109.8222,28.66,20,100,8.91,CN,1715247867
342,santo domingo,18.5001,-69.9886,24.46,91,45,1.34,DO,1715247867
343,laguna,38.421,-121.4238,19.16,44,0,3.09,US,1715247868
344,acarau,-2.8856,-40.12,25.52,91,66,4.98,BR,1715247868
345,selfoss,63.9331,-20.9971,7.25,59,73,1.05,IS,1715247868
346,nahuala,14.85,-91.3167,13.24,83,100,0.73,GT,1715247868
347,saldanha,-33.0117,17.9442,18.03,60,0,2.01,ZA,1715247868
348,vila velha,-20.3297,-40.2925,23.3,95,20,0.45,BR,1715247869
349,sinabang,2.4803,96.3801,29.33,78,49,1.74,ID,1715247869
350,ciudad del carmen,18.6333,-91.8333,28.27,77,87,7.9,MX,1715247869
351,bentiu,9.2333,29.8333,41.2,7,18,3.18,SS,1715247869
352,colonia,50.9333,6.95,21.09,68,19,0.51,DE,1715247712
353,dolores,-36.3132,-57.6792,4.18,66,0,3.67,AR,1715247869
354,coquimbo,-29.9533,-71.3436,9.85,93,0,1.03,CL,1715247720
355,praia da vitoria,38.7333,-27.0667,18.2,88,40,3.5,PT,1715247729
356,smirnovo,54.5125,69.4222,24.01,45,88,6.95,KZ,1715247870
357,borogontsy,62.6683,131.1683,3.33,57,99,3.65,RU,1715247870
358,okha,53.5739,142.9478,6.81,57,79,9.39,RU,1715247870
359,uttarkashi,30.7333,78.45,23.88,48,79,3.19,IN,1715247870
